,,"FCA
POR",126.650 MHZ PRI,
,SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","121.500 MHZ EMERG
129.500 MHZ PRI",
,,,,
"Campinas CTR
230923S 0470330W - 230150S 0465712W - 224939S 0471413W - 225905S 0472206W - 230835S 0470852W 
        3700 FT AGL

     GND
   

  CLASSE/CLASS:
D",CAMPINAS ATSU,"INFORMAÇÕES CAMPINAS
CAMPINAS INFORMATION
POR/ENG
 

H24","127.825 MHZ 
131.825 MHZ PRI",
,,"TORRE CAMPINAS
CAMPINAS TOWER
POR/ENG
 

H24",118.250 MHZ,
"Guarulhos CTR
232453S 0463736W - 232018S 0462041W - 232756S 0461814W - 233012S 0462639W - 233036S 0463442W - 232912S 0463615W 
        3600 FT AMSL

     GND
   

  CLASSE/CLASS:
D",GUARULHOS ATSU,"INFORMAÇÕES GUARULHOS
GUARULHOS INFORMATION
POR/ENG
 

H24","127.750 MHZ 
131.825 MHZ PRI",
,,"TORRE GUARULHOS
GUARULHOS TOWER
POR/ENG
 

H24","118.400 MHZ 
121.500 MHZ EMERG
132.750 MHZ 
135.200 MHZ",
"Guará CTR
224802S 0452339W - 223619S 0451042W - 223758S 0450148W - 224135S 0445905W - 225313S 0450421W - 225812S 0451438W - 225607S 0451851W - 225701S 0452040W - 225426S 0452222W 
        FL085

     GND
   

  CLASSE/CLASS:
D",GUARATINGUETA ATSU,"TORRE GUARA
GUARA TOWER
POR/ENG
 

DLY 0915 - 2100
Outros HR O/R ao Comandante da EEAR com antecedência mínima de 2 (dois) dias úteis.

DLY 0915 - 2100
Other HR O/R to EEAR Commander at least 2 (two) work days in advance.",118.150 MHZ,
,GUARATINGUETÁ APP,"CONTROLE GUARA
GUARA CONTROL
POR/ENG
 

DLY 0900 - 2300",120.150 MHZ PRI,
,,"CONTROLE GUARA
GUARA CONTROL
POR/ENG
 

DLY 2100 - 2200
AFIS prestado pelo APP Guaratinguetá
DLY 2100 - 2200
AFIS provided by Guaratinguetá APP",120.150 MHZ,
"Jundiaí CTR
230923S 0470330W - 230150S 0465712W - 230731S 0464745W - 231448S 0464647W - 231649S 0464910W - 231738S 0465249W - 231704S 0470107W 
        4500 FT AMSL

     GND
   

  CLASSE/CLASS:
D",JUNDIAI ATSU,"TORRE JUNDIAI
JUNDIAI TOWER
POR/ENG
 

DLY 1015 - 2145","118.750 MHZ 
121.050 MHZ",
"São José CTR
230939S 0460827W - 225827S 0455528W - 230305S 0454004W - 230733S 0454124W - 231558S 0453252W - 232413S 0454343W - 232435S 0455418W 
        5500 FT AMSL

     GND
   

  CLASSE/CLASS:
D",SAO JOSE DOS CAMPOS ATSU,"TORRE SAO JOSE
SAO JOSE TOWER
POR/ENG
 

H24","118.500 MHZ 
121.500 MHZ EMERG","HEL EVOLUINDO NA CTR SAO JOSE PELA BR 116 (RODOVIA PRESIDENTE DUTRA) DEVERAO CTC TWR SAO JOSE FREQ 118.50 MHZ PARA CRUZAMENTO RCL. CASO NÃO CONSIGAM CTC, DEVERÃO AGUARDAR EM ESPERAS NA PSN UNIP OU NA PSN ERICSON PARA AUTORIZAÇÃO.
HEL FLYING IN CTR SÃO JOSÉ ALONG BR 116 (PRESIDENTE DUTRA HIGHWAY) MUST CTC TWR SÃO JOSÉ FREQ 118.50 MHZ FOR RCL CROSSING. IF THEY CANNOT GET CTC, THEY MUST WAIT AT PSN UNIP OR PSN ERICSON FOR AUTHORIZATION."
,,"INFORMAÇÕES SÃO JOSÉ
SÃO JOSÉ INFORMATION
POR/ENG
 

H24","127.925 MHZ 
131.825 MHZ PRI",
,SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","124.150 MHZ PRI
134.150 MHZ PRI",
"São Paulo CTR
233309S 0464538W - 233132S 0464253W - 233140S 0464013W - 234206S 0463301W - 234447S 0463736W 
        3600 FT AGL

     GND
   

  CLASSE/CLASS:
D",CONGONHAS ATSU,"TORRE SAO PAULO
SAO PAULO TOWER
POR/ENG
 

DLY 0900 - 0200",127.150 MHZ PRI,"ÁREA DE CONTROLE HELICÓPTERO Controle Helicóptero / Helicopter Control Português - Inglês Observar área de operação simultânea de Aviões IFR e Helicópteros VFR na aproximação final da Pista 17 de São Paulo Congonhas (ÁREA DE CONTROLE HELICÓPTERO), descrita em AD 2.22 SBSP -SÃO PAULO / Congonhas, SP - Procedimentos para os voos VFR dentro da CTR
Observe the simultaneous operation area of IFR Airplanes and VFR Helicopters in the final approach of RWY 17 of São Paulo Congonhas (HELICOPTER CONTROL AREA), described in AD 2.22 SBSP - São Paulo / Congonhas, SP - Procedures for VFR flights within CTR"
,,"CONTROLE HELICOPTERO
HELICOPTER CONTROL
POR/ENG
 

DLY 0900 - 0200",118.350 MHZ,
,,"INFORMAÇÕES SÃO PAULO
SÃO PAULO INFORMATION
POR/ENG
 

DLY 0900 - 0300","127.650 MHZ 
131.825 MHZ PR",
"Taubaté CTR
230305S 0454004W - 230733S 0454124W - 231558S 0453252W - 225701S 0452040W - 225426S 0452222W - 224802S 0452339W - 230157S 0454351W 
        FL085

     GND
   

  CLASSE/CLASS:
D",TAUBATE ATSU,"TORRE TAUBATE
TAUBATE TOWER
POR/ENG
 

MON 0900 - TUE 0300, TUE 0900 - WED 0300, WED 0900 - THU 0300, THU 0900 - FRI 0300, FRI 0900 - SAT 0300, SAT, SUN 0900 - 2100, HOL 0900 - 2100",119.900 MHZ PRI,
,,,,
"Amarais 1 FIZ
224605S 0471258W depois, ao longo de um arco no sentido horário de / then along the clockwise arc of a circle of 15 NM de raio com centro em / radius centred on 230026S 0470804W to 224534S 0471040W - 225306S 0470025W - 224413S 0465921W - 223958S 0471121W - 224041S 0471459W 
        5500 FT AMSL

     GND
   

  CLASSE/CLASS:
G",CAMPOS DOS AMARAIS,"RÁDIO AMARAIS
POR
 

DLY 0915 - 1445, DLY 1600 - 2045",118.125 MHZ PRI,
"Amarais 2 FIZ
224605S 0471258W depois, ao longo de um arco no sentido horário de / then along the clockwise arc of a circle of 15 NM de raio com centro em / radius centred on 230026S 0470804W to 224534S 0471040W - 225306S 0470025W - 225605S 0470046W - 225700S 0470358W - 225116S 0471158W - 224915S 0471147W 
        3600 FT AMSL

     GND
   

  CLASSE/CLASS:
G",CAMPOS DOS AMARAIS,"RÁDIO AMARAIS
POR
 

DLY 0915 - 1445, DLY 1600 - 2045",118.125 MHZ PRI,
"Bragança Paulista FIZ
Área circular com centro em / Circular area centered on 225844S 0463214W com um raio de / within a 3 NM radius.
        1600 FT AGL

     GND
   

  CLASSE/CLASS:
G",BRAGANCA PAULISTA ATSU,"RÁDIO BRAGANÇA PAULISTA
POR
 

DLY 1015 - 1500, DLY 1600 - 2145","125.700 MHZ LTD para raio 3NM FM centro AD, SFC/4500FT AMSL.
LTD within a radius of 3NM centred on the AD, SFC/4500FT AMSL.",
"Catarina FIZ
232036S 0471914W - 232035S 0470933W - 232103S 0470735W - 232507S 0470127W - 232854S 0470139W - 233219S 0470404W - 233321S 0471001W - 232836S 0472129W - 232502S 0472216W 
        5000 FT AMSL

     GND
   

  CLASSE/CLASS:
G",CATARINA ATSU,"RÁDIO CATARINA
POR
 

H24",131.800 MHZ PRI,
"Santos FIZ
234415S 0461710W - 234921S 0461021W - 240432S 0460418W - 241517S 0460944W - 241329S 0462508W - 235943S 0462832W - 235354S 0462910W 
        5500 FT AMSL

     GND
   

  CLASSE/CLASS:
G",SANTOS ATSU,"RÁDIO SANTOS
POR
 

DLY 1030 - 2130","118.650 MHZ PRI
132.225 MHZ SRY",
"Sorocaba FIZ
232203S 0474352W - 232032S 0473842W - 231341S 0473512W - 231529S 0472757W - 232949S 0472432W - 233232S 0472432W - 234445S 0471930W - 235004S 0472704W - 233719S 0474359W - 232834S 0474538W 
        5500 FT AMSL

     GND
   

  CLASSE/CLASS:
G",SOROCABA ATSU,"TORRE SOROCABA
SOROCABA TOWER
POR/ENG
 

DLY 0900 - 0200",118.800 MHZ PRI,"Aeronaves realizando os procedimentos IFR de SDCO devem providenciar
sua própria separação em relação às demais aeronaves evoluindo na
FIZ-SOROCABA, em função do procedimento IFR estar localizado inteiramente dentro de Espaço Aéreo Classe G.
Aircraft performing IFR procedures at SDCO must
provide their own separation from other aircraft operating in the
FIZ-SOROCABA, as the IFR procedure is entirely located within Class G Airspace."
,,,,
"Atibaia ATZ
230536S 0463448W depois, ao longo de um arco no sentido horário de / then along the clockwise arc of a circle of 2.1 NM de raio com centro em / radius centred on 230741S 0463429W to 230942S 0463508W 
        3600 FT AMSL

     GND",ATIBAIA ATSU,"FCA
POR
 

HJ",126.250 MHZ PRI,
"Marte ATZ
233036S 0463442W - 232924S 0464141W - 233030S 0464155W depois, ao longo de um arco no sentido anti-horário de / then along the counter clockwise arc of a circle of 5.62 NM de raio com centro em / radius centred on 232635S 0463731W to 233141S 0463455W 
        3700 FT AGL

     GND",MARTE ATSU,"TORRE MARTE
MARTE TOWER
POR/ENG
 

DLY 0900 - 0200",133.350 MHZ PRI,
"Sorocaba ATZ
Área circular com centro em / Circular area centered on 232900S 0472913W com um raio de / within a 4 NM radius.
        1500 FT AGL

     GND",SOROCABA ATSU,"TORRE SOROCABA
SOROCABA TOWER
POR/ENG
 

DLY 0900 - 0200",118.800 MHZ PRI,"Helicópteros em voo na REH RAPOSO deverão chamar a TORRE SOROCABA nas Posições HOSPITAL e CLUBE na frequência 118.800 MHZ.
Helicopters flying in the REH RAPOSO must contact SOROCABA TOWER on frequency 118.800 MHZ at HOSPITAL and CLUB
Positons."
